"Relative Time (Process)","train50-dali - system/gpu.0.gpu","train50-dali - system/gpu.0.gpu__MIN","train50-dali - system/gpu.0.gpu__MAX"
"11115.725879046","91","91","91"
"11130.72744546","67","67","67"
"11145.726743615","92","92","92"
"11160.725176392","73","73","73"
"11175.725065992","93","93","93"
"11190.727655109","87","87","87"
"11205.724909472","70","70","70"
"11220.724720292","99","99","99"
"11235.725793736","98","98","98"
"11250.726897388","88","88","88"
"11265.725932381","87","87","87"
"11280.725340281","82","82","82"
"11295.725746007","81","81","81"
"11310.726476833","89","89","89"
"11325.725858106","64","64","64"
"11340.725669032","71","71","71"
"11355.725756944","49","49","49"
"11370.726830728","73","73","73"
"11385.726795224","77","77","77"
"11400.725073036","88","88","88"
"11415.725180084","98","98","98"
"11430.726333695","87","87","87"
"11445.727912894","93","93","93"
"11460.725540465","67","67","67"
"11475.725843538","72","72","72"
"11490.725026596","93","93","93"
"11505.729018844","82","82","82"
"11520.725502559","60","60","60"
"11535.725091225","81","81","81"
"11550.725695353","91","91","91"
"11565.726072483","71","71","71"
"11580.72604069","70","70","70"
"11595.725707877","95","95","95"
"11610.725574559","76","76","76"
"11625.72659734","73","73","73"
"11640.726525827","94","94","94"
"11655.724791883","66","66","66"
"11670.72524074","90","90","90"
"11685.726515738","83","83","83"
"11700.727706385","72","72","72"
"11715.725625101","86","86","86"
"11730.725793546","95","95","95"
"11745.725199663","94","94","94"
"11760.726222499","95","95","95"
"11775.725182273","89","89","89"
"11790.725532198","92","92","92"
"11805.725441489","95","95","95"
"11820.726438081","91","91","91"
"11835.725585458","79","79","79"
"11850.725934007","63","63","63"
"11865.725516297","70","70","70"
"11880.726612936","71","71","71"
"11895.72588394","71","71","71"
"11910.724911357","78","78","78"
"11925.725131982","91","91","91"
"11940.726650226","85","85","85"
"11955.726947921","71","71","71"
"11970.725564468","90","90","90"
"11985.725365439","87","87","87"
"12000.726006589","64","64","64"
"12015.72804976","78","78","78"
"12030.725098199","90","90","90"
"12045.725265518","96","96","96"
"12060.725686122","77","77","77"
"12075.726206167","87","87","87"
"12090.725813084","55","55","55"
"12105.725285856","95","95","95"
"12120.725453079","65","65","65"
"12135.726488718","71","71","71"
"12150.725264519","93","93","93"
"12165.725189359","70","70","70"
"12180.725956381","85","85","85"
"12195.725644237","84","84","84"
"12210.726063776","91","91","91"
"12225.725406675","81","81","81"
"12240.725138929","79","79","79"
"12255.726451225","65","65","65"
"12270.727350819","74","74","74"
"12285.724855957","79","79","79"
"12300.725728286","99","99","99"
"12315.724736695","83","83","83"
"12330.728148217","79","79","79"
"12345.725301882","84","84","84"
"12360.724779289","79","79","79"
"12375.725506668","77","77","77"
"12390.730920322","79","79","79"
"12405.726271569","95","95","95"
"12420.724697469","94","94","94"
"12435.724855063","91","91","91"
"12450.725239987","83","83","83"
"12465.727572248","96","96","96"
"12480.72533678","92","92","92"
"12495.725387982","96","96","96"
"12510.725541487","70","70","70"
"12525.726664138","82","82","82"
"12540.725625379","91","91","91"
"12555.725774923","87","87","87"
"12570.724876121","81","81","81"
"12585.726115866","53","53","53"
"12600.727265946","68","68","68"
"12615.725519582","79","79","79"
"12630.725426931","87","87","87"
"12645.725653325","79","79","79"
"12660.732876119","98","98","98"
"12675.725458141","84","84","84"
"12690.725106518","82","82","82"
"12705.725487853","74","74","74"
"12720.726443476","97","97","97"
"12735.725503296","95","95","95"
"12750.725328705","65","65","65"
"12765.724638369","95","95","95"
"12780.726199149","93","93","93"
"12795.727901153","85","85","85"
"12810.724662579","85","85","85"
"12825.725245197","90","90","90"
"12840.725198546","82","82","82"
"12855.726270888","77","77","77"
"12870.724884064","73","73","73"
"12885.72502754","71","71","71"
"12900.724865818","69","69","69"
"12915.726592416","85","85","85"
"12930.726427786","88","88","88"
"12945.725814268","85","85","85"
"12960.724768778","96","96","96"
"12975.725264295","92","92","92"
"12990.726558355","99","99","99"
"13005.725015749","92","92","92"
"13020.725101045","60","60","60"
"13035.725063838","96","96","96"
"13050.728888203","93","93","93"
"13065.725794939","71","71","71"
"13080.725032163","93","93","93"
"13095.725417775","66","66","66"
"13110.726319283","94","94","94"
"13125.726132531","84","84","84"
"13140.724580297","95","95","95"
"13155.725219208","81","81","81"
"13170.725708962","79","79","79"
"13185.727403","62","62","62"
"13200.725398111","72","72","72"
"13215.725115149","98","98","98"
"13230.724942111","73","73","73"
"13245.726591128","92","92","92"
"13260.725339665","87","87","87"
"13275.724911319","83","83","83"
"13290.725652038","78","78","78"
"13305.725989139","92","92","92"
"13320.725546552","85","85","85"
"13335.725074675","93","93","93"
"13350.724946568","61","61","61"
"13365.726261707","76","76","76"
"13380.727078755","69","69","69"
"13395.724802974","98","98","98"
"13410.724780264","88","88","88"
"13425.726175421","98","98","98"
"13440.728067617","80","80","80"
"13455.725357744","85","85","85"
"13470.725320876","89","89","89"
"13485.72555722","79","79","79"
"13500.72610976","66","66","66"
"13515.724937879","84","84","84"
"13530.725435476","88","88","88"
"13545.72516448","76","76","76"
"13560.726141447","88","88","88"
"13575.726043959","94","94","94"
"13590.725353187","91","91","91"
"13605.725272242","92","92","92"
"13620.724800413","77","77","77"
"13635.727447171","76","76","76"
"13650.724842921","95","95","95"
"13665.725272534","80","80","80"
"13680.725940158","82","82","82"
"13695.729080862","89","89","89"
"13710.725580124","98","98","98"
"13725.725454306","93","93","93"
"13740.725254387","79","79","79"
"13755.726505694","66","66","66"
"13770.724675569","94","94","94"
