"Relative Time (Process)","train50-no-dali - system/gpu.0.gpu","train50-no-dali - system/gpu.0.gpu__MIN","train50-no-dali - system/gpu.0.gpu__MAX"
"8775.635348664","91","91","91"
"8790.632376906","81","81","81"
"8805.632666154","76","76","76"
"8820.632970919","87","87","87"
"8835.633790485","91","91","91"
"8850.632508943","88","88","88"
"8865.631886017","94","94","94"
"8880.632006157","95","95","95"
"8895.63635647","97","97","97"
"8910.633591522","94","94","94"
"8925.632338477","91","91","91"
"8940.633055055","94","94","94"
"8955.6325218","89","89","89"
"8970.635405455","89","89","89"
"8985.631989914","94","94","94"
"9000.632675351","87","87","87"
"9015.632349202","95","95","95"
"9030.633591073","93","93","93"
"9045.632441689","92","92","92"
"9060.631582902","94","94","94"
"9075.631971726","94","94","94"
"9090.633485931","84","84","84"
"9105.633805321","90","90","90"
"9120.631750912","97","97","97"
"9135.632505237","87","87","87"
"9150.63240802","87","87","87"
"9165.635797658","90","90","90"
"9180.632200205","92","92","92"
"9195.631803925","92","92","92"
"9210.63236306","90","90","90"
"9225.633454754","91","91","91"
"9240.631775894","95","95","95"
"9255.632076814","89","89","89"
"9270.633080146","87","87","87"
"9285.633675251","91","91","91"
"9300.633111105","89","89","89"
"9315.631675747","93","93","93"
"9330.632888158","98","98","98"
"9345.632469643","96","96","96"
"9360.634766807","66","66","66"
"9375.633068453","91","91","91"
"9390.632290072","89","89","89"
"9405.632097034","85","85","85"
"9420.633659013","69","69","69"
"9435.632381282","82","82","82"
"9450.632056972","89","89","89"
"9465.632893435","95","95","95"
"9480.633170457","99","99","99"
"9495.632911654","90","90","90"
"9510.632202609","84","84","84"
"9525.631858325","95","95","95"
"9540.632881026","90","90","90"
"9555.633633254","87","87","87"
"9570.632496295","86","86","86"
"9585.632500592","81","81","81"
"9600.632048251","95","95","95"
"9615.635079283","86","86","86"
"9630.632188578","87","87","87"
"9645.632545926","100","100","100"
"9660.632249079","91","91","91"
"9675.633251269","93","93","93"
"9690.632481071","89","89","89"
"9705.632608983","99","99","99"
"9720.632053576","91","91","91"
"9735.632884624","94","94","94"
