"Relative Time (Process)","train50-dali-all-CPU-processing - system/gpu.0.gpu","train50-dali-all-CPU-processing - system/gpu.0.gpu__MIN","train50-dali-all-CPU-processing - system/gpu.0.gpu__MAX"
"7965.614733864","92","92","92"
"7980.615614479","98","98","98"
"7995.61670705","86","86","86"
"8010.61549618","93","93","93"
"8025.614940916","95","95","95"
"8040.616198635","87","87","87"
"8055.617693602","88","88","88"
"8070.615363271","93","93","93"
"8085.615102379","88","88","88"
"8100.615693427","90","90","90"
"8115.617031146","88","88","88"
"8130.615425689","77","77","77"
"8145.615186208","70","70","70"
"8160.615104697","93","93","93"
"8175.617483436","86","86","86"
"8190.615150683","90","90","90"
"8205.614871288","99","99","99"
"8220.61558192","87","87","87"
"8235.615913223","89","89","89"
"8250.615449771","39","39","39"
"8265.615260877","92","92","92"
"8280.615321511","92","92","92"
"8295.616330513","88","88","88"
"8310.616687345","80","80","80"
"8325.61451958","89","89","89"
"8340.614797628","89","89","89"
"8355.615310784","98","98","98"
"8370.617699514","79","79","79"
"8385.615315826","76","76","76"
"8400.614861597","91","91","91"
"8415.614864129","93","93","93"
"8430.619042438","94","94","94"
"8445.614846541","91","91","91"
"8460.615344533","89","89","89"
"8475.61540382","92","92","92"
"8490.615696293","84","84","84"
"8505.615374341","94","94","94"
"8520.615656358","81","81","81"
"8535.615227002","87","87","87"
"8550.615712686","82","82","82"
"8565.615843698","94","94","94"
"8580.615192945","80","80","80"
"8595.615550808","90","90","90"
"8610.616507589","91","91","91"
"8625.615129054","92","92","92"
"8640.614597058","84","84","84"
"8655.615421415","71","71","71"
"8670.619161888","93","93","93"
"8685.615764421","89","89","89"
"8700.614818941","93","93","93"
"8715.615664868","94","94","94"
"8730.614886521","89","89","89"
"8745.616067345","92","92","92"
"8760.614712678","94","94","94"
"8775.615487225","91","91","91"
"8790.61488946","81","81","81"
"8805.615783499","93","93","93"
"8820.614935","85","85","85"
"8835.615477282","89","89","89"
"8850.61503271","88","88","88"
"8865.616164078","88","88","88"
"8880.615053298","87","87","87"
"8895.615132178","87","87","87"
"8910.614786578","98","98","98"
"8925.615952297","88","88","88"
"8940.616807149","95","95","95"
"8955.614858211","94","94","94"
"8970.61501811","91","91","91"
"8985.614505665","83","83","83"
"9000.618077618","89","89","89"
"9015.615577225","0","0","0"
"9030.615717135","87","87","87"
"9045.615347822","94","94","94"
"9060.620347703","77","77","77"
"9075.615067232","62","62","62"
"9090.615580296","81","81","81"
"9105.614971634","87","87","87"
"9120.61578363","90","90","90"
"9135.617762936","81","81","81"
"9150.615377331","85","85","85"
"9165.614743616","84","84","84"
"9180.614716892","91","91","91"
"9195.616088255","93","93","93"
"9210.616157817","75","75","75"
"9225.614748955","91","91","91"
"9240.615434872","94","94","94"
"9255.615386674","96","96","96"
"9270.616156629","94","94","94"
"9285.61492863","71","71","71"
"9300.615166762","95","95","95"
"9315.614905815","73","73","73"
"9330.616458881","95","95","95"
"9345.616176376","77","77","77"
"9360.6144994","87","87","87"
"9375.615498027","92","92","92"
"9390.615255594","85","85","85"
"9405.618699646","87","87","87"
"9420.615027763","91","91","91"
"9435.615095974","91","91","91"
"9450.614769753","71","71","71"
"9465.615879138","93","93","93"
"9480.615356633","85","85","85"
"9495.615460925","92","92","92"
"9510.615149768","83","83","83"
"9525.616227138","91","91","91"
"9540.616950472","77","77","77"
"9555.615486316","88","88","88"
"9570.615169087","93","93","93"
"9585.614997616","85","85","85"
"9600.616487797","92","92","92"
"9615.614567334","95","95","95"
"9630.615667844","83","83","83"
"9645.614951457","87","87","87"
"9660.615854557","99","99","99"
"9675.616068113","92","92","92"
"9690.615052898","86","86","86"
"9705.615459497","92","92","92"
"9720.616731962","86","86","86"
"9735.618154144","85","85","85"
"9750.615588727","88","88","88"
"9765.614681075","93","93","93"
"9780.615325364","98","98","98"
"9795.615936526","86","86","86"
"9810.614892523","94","94","94"
"9825.615203202","85","85","85"
"9840.614819132","72","72","72"
"9855.615748931","90","90","90"
"9870.61581933","85","85","85"
"9885.615514447","84","84","84"
"9900.615092394","79","79","79"
"9915.616021714","90","90","90"
"9930.617651463","78","78","78"
"9945.614820467","91","91","91"
"9960.615667139","89","89","89"
"9975.614954914","88","88","88"
"9990.616521919","90","90","90"
"10005.615686474","63","63","63"
"10020.615383333","91","91","91"
"10035.615022673","88","88","88"
"10050.616111099","88","88","88"
"10065.615977151","90","90","90"
"10080.614719705","65","65","65"
"10095.614790788","90","90","90"
"10110.616306175","93","93","93"
"10125.616854412","94","94","94"
"10140.615116311","80","80","80"
"10155.614684415","77","77","77"
"10170.615405344","70","70","70"
"10185.616000165","93","93","93"
"10200.61469661","82","82","82"
"10215.614751042","94","94","94"
"10230.615175898","83","83","83"
"10245.61589961","94","94","94"
"10260.615326266","90","90","90"
"10275.615092978","88","88","88"
"10290.615198175","75","75","75"
"10305.615736584","81","81","81"
"10320.617110678","84","84","84"
"10335.615153296","93","93","93"
"10350.615697385","91","91","91"
"10365.617285784","84","84","84"
"10380.618539811","88","88","88"
"10395.615028551","89","89","89"
"10410.615176962","94","94","94"
"10425.615507572","93","93","93"
"10440.616161866","89","89","89"
"10455.61540462","95","95","95"
"10470.615062442","87","87","87"
"10485.615447191","89","89","89"
"10500.616698222","75","75","75"
"10515.614916831","87","87","87"
"10530.61477754","100","100","100"
"10545.615691172","94","94","94"
"10560.614627633","91","91","91"
"10575.617366563","92","92","92"
"10590.614761138","70","70","70"
"10605.615282531","89","89","89"
"10620.615003534","86","86","86"
"10635.61604567","81","81","81"
"10650.615312086","93","93","93"
"10665.614973522","89","89","89"
"10680.614561804","96","96","96"
"10695.615709249","99","99","99"
"10710.615362144","88","88","88"
"10725.615467757","58","58","58"
"10740.614957013","92","92","92"
"10755.616183071","93","93","93"
"10770.616418556","86","86","86"
"10785.615150338","80","80","80"
"10800.615515127","86","86","86"
"10815.615201361","88","88","88"
"10830.617326684","95","95","95"
"10845.615642906","71","71","71"
"10860.615376624","81","81","81"
"10875.615659546","83","83","83"
"10890.616633016","76","76","76"
"10905.615609254","84","84","84"
"10920.614913431","90","90","90"
"10935.615595742","94","94","94"
"10950.616527931","94","94","94"
"10965.615892915","97","97","97"
"10980.61534456","94","94","94"
"10995.615332196","72","72","72"
"11010.61680501","85","85","85"
"11025.617347933","92","92","92"
